action,blood glucose,reward,meal,risk
0.1,136.65195,5.036731458026055,0.0,2.19189965716007
0.1,138.35895,6.826168416373614,0.0,2.191330381431249
[0.],141.42638,-11.046678213251592,0.0,2.1902369788189304
0.1,145.395,-13.166641641758682,0.0,2.1881577776587684
[0.],149.80171,-15.467464254432205,0.0,2.1841663760561074
0.1,154.18005,-17.69627647255562,0.0,2.1769625509989257
[0.06299187],158.06093,-19.60069476543893,0.0,2.16498134396122
[0.],160.97356,-20.933433099923377,0.0,2.146497483297989
[0.],162.49,-21.483526382051085,0.0,2.11967110306802
0.1,162.4473,-21.216877020806027,0.0,2.082703719229012
0.1,161.0817,-20.32597147251286,0.0,2.0340720475483587
0.1,158.7197,-18.995982338252887,0.0,1.972599194686744
[0.],155.68883,-17.392695681808938,0.0,1.897339236636037
0.1,152.3019,-15.66769046104895,0.0,1.807495162495124
[0.],148.7845,-13.916251235431329,0.0,1.7025262810889834
[0.02807203],145.23267,-12.164572029291383,0.0,1.5823380999226857
0.1,141.7149,-10.441005359324553,0.0,1.447456202328009
[0.],138.30219,7.3721194063561795,0.0,1.2992056964937382
0.1,135.06833,7.321292126376512,0.0,1.1397644645257814
[0.],132.08908,7.266931641566108,0.0,0.972172902618916
[0.],129.4416,7.212134983521216,0.0,0.8003561338572275
0,127.20523,7.159630256774937,0.0,0.6291518126999247
0,125.46219,7.111314470674572,0.0,0.4643785810019691
0,124.26954,7.069269742951742,0.0,0.312836284702258
0,123.51516,7.040833895940676,0.0,0.18219560849225
0,122.83096,7.034993676980943,0.0,0.0807982676777817
0,121.79436,7.0492425106882175,0.0,0.0173995400626614
0,119.98519,7.074721556095348,0.0,0.0008808514741223
0,117.03304,7.089768347959264,0.0,0.0399535503557702
0,112.85711,7.0534949110275935,0.0,0.1428693014858723
0,107.8099,6.936927181551514,0.0,0.3171483856244655
0,102.3396,6.75172333366898,0.0,0.569334410779661
0,96.89331,-12.015797083447836,0.0,0.9047820918448296
0,91.89178,-14.698902955074788,0.0,1.3274834224936174
0,87.604836,-16.944196203383722,0.0,1.839936423718683
0,84.07667,-18.729232926278858,0.0,2.4430594932285006
0,81.299614,-20.06309863067862,0.0,3.1361530851386057
0,79.2638,-20.95735095468364,0.0,3.916908989431252
0,77.943436,-21.44271768982863,0.0,4.781465889117255
0,77.22818,-21.6215152004622,0.0,5.724508228234785
0,76.88205,-21.67587120656599,0.0,6.739403829949369
0,76.639694,-21.763134569901133,0.0,7.818374273706703
0,76.234085,-22.023954073942743,0.0,8.952690879369705
0,75.396645,-22.601307046484703,0.0,10.132888340838775
0,73.85748,-23.65291848035601,0.0,11.348987659455476
0,71.34553,-25.367846861861523,0.0,12.590720072033292
0,67.58875,-27.994646540465872,0.0,13.847744137450078
0,62.314316,-31.900660371070064,0.0,15.10984899366126
0,55.88845,-36.84528710009568,0.0,16.367137950122967
0,49.972466,-40.76012067713828,0.0,17.610187945575518
0,45.62391,-42.474773002172505,0.0,18.83018187460513
0,42.628586,-42.98376248526803,0.0,20.0190122652277
0,40.77215,-42.5958121040632,0.0,21.16935618027446
0,39.8402,-41.679404604159686,0.0,22.27472244088988
0,39.618355,-40.58230175203017,0.0,23.329473276058955
0,39.892307,-39.57102648789844,0.0,24.328823256631782
0,40.44787,-38.81634292012315,0.0,25.26881886775435
0,41.071022,-38.41805949462389,0.0,26.146302321981103
0,41.55323,-38.434736361980455,0.0,26.958863244314628
0,41.71792,-38.87580496641366,0.0,27.704781708072517
0,41.43638,-39.73650297431994,0.0,28.382965810136955
0,40.590717,-41.10761944848408,0.0,28.99288658973189
0,39.49423,-42.15896347750719,0.0,29.534512657291756
0,39.0,-41.39286779286719,0.0,30.008246444612723
0,39.0,-40.5,0.0,30.414863542725698
0,39.0,-40.5,0.0,30.755456180858516
0,39.0,-40.5,0.0,31.03138153245228
0,39.0,-40.5,0.0,31.244215220233297
0,39.0,-40.5,0.0,31.395710134470253
0,39.0,-40.5,0.0,31.48776047550531
0,39.143276,-40.16730001067448,0.0,31.52237077944783
0,40.7191,-36.88590178878698,0.0,31.50162957884274
0,44.054012,-32.7824381270477,0.0,31.42768728160014
0,45.55205,-35.1417918718242,0.0,31.302737814717165
0,44.900215,-38.43836375858447,0.0,31.129003567804425
0,42.688335,-41.8773810068613,0.0,30.908723179182296
0,40.169743,-44.01439581037968,0.0,30.64414172910249
0,39.0,-42.57906054515273,0.0,30.33750293604131
0,39.0,-40.5,0.0,29.99104298936555
0,39.0,-40.5,0.0,29.606985692105525
0,39.0,-40.5,0.0,29.1875386288552
0,39.0,-40.5,0.0,28.734890114312552
0,39.293262,-39.820968299064745,0.0,28.25120671651003
0,41.2304,-36.051802478248064,0.0,27.73863118458613
0,45.378872,-31.12109183348304,0.0,27.19928064354728
0,49.594593,-30.006047084766404,0.0,26.63524494763266
0,53.209763,-29.649111591784965,0.0,26.048585109566943
0,55.556625,-30.086344122867374,0.0,25.44133174524148
0,56.04067,-31.565443858067148,0.0,24.81548349235702
0,54.50673,-34.08947537287963,0.0,24.173005377515764
0,51.45863,-37.2181403119144,0.0,23.515827119406968
0,47.546658,-40.63400059892899,0.0,22.84584136636705
0,43.421112,-43.85652518797713,0.0,22.164901874970944
0,40.17901,-45.09782694004735,0.0,21.47482164269787
0,39.0,-42.59506191958013,0.0,20.77737101236469
